"","cycle","st_cd_fips","party","total_ads","stations","attack_ad_pct"
"180",2006,"3626","R",1844,16445,0.596529284164859
"181",2006,"3629","D",1286,4987,0.397356143079316
"182",2006,"3629","R",1494,4633,NA
"183",2006,"3702","D",181,724,0
"184",2006,"3705","R",137,411,0
"185",2006,"3708","D",582,2612,0.384879725085911
"186",2006,"3708","R",1697,11310,0.81673541543901
"187",2006,"3709","R",80,160,0
"188",2006,"3711","D",3938,15866,0.495937023869985
"189",2006,"3711","R",4308,19999,0.545496750232126
"190",2006,"3712","R",9,9,0
"191",2006,"3713","D",1073,7103,0.268406337371855
"192",2006,"3713","R",612,1875,0.15359477124183
"193",2006,"3901","D",2969,13508,0.803300774671607
"194",2006,"3901","R",3156,15326,0.533903675538656
"195",2006,"3902","D",359,1623,0.445682451253482
"196",2006,"3902","R",950,4169,0.497894736842105
"197",2006,"3903","D",115,230,0.156521739130435
"198",2006,"3903","R",485,2425,0
"199",2006,"3904","R",2333,21921,0
"200",2006,"3905","D",27,54,0
"201",2006,"3905","R",423,1692,0
"202",2006,"3906","D",2218,10754,0
"203",2006,"3906","R",1085,3255,0.744700460829493
"204",2006,"3907","D",1117,8936,0
"205",2006,"3910","D",29,116,0
"206",2006,"3912","D",1394,6792,0.515781922525108
"207",2006,"3912","R",1579,6718,0.642811906269791
"208",2006,"3913","D",1373,5780,0.0524399126001457
"209",2006,"3913","R",145,540,0
"210",2006,"3914","R",152,608,0
"211",2006,"3915","D",3937,18455,0.571247142494285
"212",2006,"3915","R",4932,24027,0.574614760746148
"213",2006,"3918","D",2761,19231,0.561028612821441
"214",2006,"3918","R",2590,20253,NA
"215",2006,"4001","R",236,1072,0
"216",2006,"4003","R",18,18,0
"217",2006,"4004","R",152,608,0
"218",2006,"4005","D",124,496,0
"219",2006,"4005","R",3547,14164,0
"220",2006,"4102","R",375,1615,0
"221",2006,"4103","D",38,114,0
"222",2006,"4105","D",2658,10973,0.0936794582392776
"223",2006,"4105","R",2799,13995,0.172561629153269
"224",2006,"4203","D",12,34,0
"225",2006,"4203","R",186,556,0.956989247311828
"226",2006,"4204","D",1519,8147,0.449637919684003
"227",2006,"4204","R",1615,7977,0.430340557275542
"228",2006,"4206","D",1947,11682,0.634309193631228
"229",2006,"4206","R",2450,13704,0.848571428571429
"230",2006,"4207","D",1291,6914,0.487219209914795
"231",2006,"4207","R",1611,9213,0.776536312849162
"232",2006,"4208","D",1342,6803,0.585692995529061
"233",2006,"4208","R",2582,14256,0.919829589465531
"234",2006,"4209","D",27,54,0
"235",2006,"4210","D",4156,19662,0.465351299326275
"236",2006,"4210","R",3587,16902,0.592695846110956
"237",2006,"4211","D",160,640,0
"238",2006,"4211","R",6,6,0
"239",2006,"4212","D",34,238,0
"240",2006,"4212","R",435,3021,1
"241",2006,"4213","D",336,1680,0
"242",2006,"4216","D",94,110,0
"243",2006,"4216","R",64,128,0
"244",2006,"4218","D",389,1945,0
"245",2006,"4401","D",676,3380,0
"246",2006,"4402","D",571,2635,0.129597197898424
"247",2006,"4503","D",42,126,0.523809523809524
"248",2006,"4504","D",29,87,0
"249",2006,"4505","D",2289,20748,0.290519877675841
"250",2006,"4505","R",2641,20946,0.301400984475577
"251",2006,"4701","R",2657,12756,0
"252",2006,"4703","R",720,3374,0
"253",2006,"4706","D",68,204,0
"254",2006,"4709","D",1540,7293,0.0116883116883117
"255",2006,"4709","R",5,5,0
"256",2006,"4814","R",76,152,0
"257",2006,"4816","D",19,46,0
"258",2006,"4817","D",3049,9147,0.384060347654969
"259",2006,"4817","R",2959,9726,0.408583981074687
"260",2006,"4821","D",160,275,0
"261",2006,"4822","D",901,3994,0.240843507214206
"262",2006,"4822","R",724,3194,0.104972375690608
"263",2006,"4823","D",121,363,0
"264",2006,"4823","R",417,1251,0
"265",2006,"4828","D",901,3082,0.337402885682575
"266",2006,"4831","D",93,186,0
"267",2006,"4831","R",288,864,1
"268",2006,"4902","D",1083,5415,0
"269",2006,"4902","R",558,2207,0
"270",2006,"4903","D",40,153,0
"271",2006,"4903","R",7,7,0
"272",2006,"5001","D",3321,13284,0
"273",2006,"5001","R",4727,18446,0
"274",2006,"5102","D",5223,29104,0.754355734252345
"275",2006,"5102","R",4777,21455,NA
"276",2006,"5105","D",462,1812,0.432900432900433
"277",2006,"5105","R",529,2116,0.453686200378072
"278",2006,"5107","R",324,1296,0
"279",2006,"5109","D",449,1796,0
"280",2006,"5110","D",289,1156,0
"281",2006,"5110","R",345,1380,0
"282",2006,"5111","D",2,2,0
"283",2006,"5111","R",394,1576,0
"284",2006,"5302","D",462,2310,0
"285",2006,"5305","D",2452,10837,0.439641109298532
"286",2006,"5305","R",2704,13520,0.445636094674556
"287",2006,"5308","D",3914,27349,0.55799693408278
"288",2006,"5308","R",2474,14998,0.518593371059014
"289",2006,"5402","D",682,2656,0
"290",2006,"5402","R",1921,7684,0.399791775117126
"291",2006,"5501","D",1,1,NA
"292",2006,"5502","D",545,1635,0
"293",2006,"5502","R",1102,3985,0.23502722323049
"294",2006,"5503","D",24,48,0
"295",2006,"5503","R",9,9,1
"296",2006,"5505","R",17,51,0
"297",2006,"5508","D",8524,39710,NA
"298",2006,"5508","R",7232,35996,0.433766592920354
"299",2010,"0101","R",236,708,0
"300",2010,"0102","D",5130,35742,0.171345029239766
"301",2010,"0102","R",5204,37430,0.648731744811683
"302",2010,"0105","D",2590,10340,0.118146718146718
"303",2010,"0105","R",2436,8482,0.104269293924466
"304",2010,"0106","R",63,63,0
"305",2010,"0107","D",2046,14038,0
"306",2010,"0201","D",311,2177,0.668810289389068
"307",2010,"0201","R",1548,12144,0
"308",2010,"0401","D",1966,12845,1
"309",2010,"0401","R",2146,10952,0.792637465051258
"310",2010,"0402","R",26,130,0
"311",2010,"0403","D",891,6237,0.399551066217733
"312",2010,"0403","R",3178,15711,0.0449968533668974
"313",2010,"0405","D",3835,24284,0.669100391134289
"314",2010,"0405","R",2859,16003,0.649527806925498
"315",2010,"0407","D",2797,18556,0.251698248122989
"316",2010,"0407","R",2389,14350,0.553788195897865
"317",2010,"0408","D",8134,48804,0.528399311531842
"318",2010,"0408","R",4340,17692,0.481797235023041
"319",2010,"0501","D",4019,34912,0.522269221199303
"320",2010,"0501","R",2398,12480,0.912010008340284
"321",2010,"0502","D",1956,9324,0
"322",2010,"0502","R",1293,5686,0.2861562258314
"323",2010,"0503","D",19,38,0
"324",2010,"0503","R",1059,4946,0.0254957507082153
"325",2010,"0504","D",2228,32035,0
"326",2010,"0504","R",166,767,0.77710843373494
"327",2010,"0603","D",1910,10822,0.652879581151832
"328",2010,"0603","R",725,3996,0.857931034482759
"329",2010,"0605","D",259,1554,0
"330",2010,"0611","D",2657,23246,0.558148287542341
"331",2010,"0611","R",806,4512,0.997518610421836
"332",2010,"0617","D",250,528,0
"333",2010,"0617","R",72,209,0
"334",2010,"0618","D",58,232,0
"335",2010,"0619","R",313,879,0.115015974440895
"336",2010,"0620","D",4914,34381,NA
"337",2010,"0620","R",2507,17733,0.477064220183486
"338",2010,"0621","R",217,868,0
"339",2010,"0623","D",493,1972,0
"340",2010,"0623","R",448,1580,0.149553571428571
"341",2010,"0642","R",17,45,0.352941176470588
"342",2010,"0645","D",3047,12188,0.400393829996718
"343",2010,"0645","R",3435,13740,0.436098981077147
"344",2010,"0647","D",69,96,0
"345",2010,"0651","D",537,4296,0.0819366852886406
"346",2010,"0651","R",265,1415,0
"347",2010,"0801","R",13,52,0
"348",2010,"0802","R",4,4,0
"349",2010,"0803","D",4690,48142,0.592324093816631
"350",2010,"0803","R",4028,33004,0.542701092353525
"351",2010,"0804","D",2976,18222,0.369959677419355
"352",2010,"0804","R",2482,18848,0.591861402095085
"353",2010,"0806","D",21,84,0
"354",2010,"0806","R",20,80,0
"355",2010,"0807","D",2287,14198,0.336248360297333
"356",2010,"0807","R",1453,8291,0.733654507914659
"357",2010,"0901","D",262,1436,0
"358",2010,"0901","R",47,141,0
"359",2010,"0902","D",1114,6684,0
"360",2010,"0902","R",141,846,0
"361",2010,"0903","R",137,257,0
"362",2010,"0904","D",336,336,0.163690476190476
"363",2010,"0904","R",257,264,0.147859922178988
"364",2010,"0905","D",1739,10255,0.326624496837263
"365",2010,"0905","R",1786,9065,0.321388577827548
"366",2010,"1001","D",729,5620,0
"367",2010,"1202","D",12110,81608,0.453344343517754
"368",2010,"1202","R",4581,27867,0.666011787819253
"369",2010,"1207","R",412,5356,0
"370",2010,"1208","D",2671,15952,0.575065518532385
"371",2010,"1208","R",2399,14196,0.661108795331388
"372",2010,"1210","R",227,908,0
"373",2010,"1212","D",386,1544,1
"374",2010,"1212","R",369,1476,1
"375",2010,"1214","D",58,232,0
"376",2010,"1216","R",188,752,0
"377",2010,"1217","D",1179,6625,0.387616624257846
"378",2010,"1218","R",114,400,0
"379",2010,"1219","D",497,1457,0
"380",2010,"1219","R",39,117,0
"381",2010,"1222","D",4391,29989,0.901616943748577
"382",2010,"1222","R",3545,23787,0.275881523272214
"383",2010,"1224","D",1775,8907,0.170140845070423
"384",2010,"1224","R",1520,9579,0.675657894736842
"385",2010,"1225","D",1892,15311,0.757399577167019
"386",2010,"1225","R",1509,10757,0.402915838303512
"387",2010,"12NA","D",12,23,0
"388",2010,"1302","D",2535,31488,0.452465483234714
"389",2010,"1302","R",1793,18017,0.887897378694925
"390",2010,"1305","R",4,8,0
"391",2010,"1308","D",5944,49006,0.490578734858681
"392",2010,"1308","R",5657,67259,0.413823581403571
"393",2010,"1309","R",1344,5849,0.310267857142857
"394",2010,"1310","D",171,684,0
"395",2010,"1312","D",2947,25823,0
"396",2010,"1312","R",563,14099,0
"397",2010,"1501","D",7068,35324,0.379598189020939
"398",2010,"1501","R",5527,27635,0.318255834991858
"399",2010,"1502","D",989,4945,0
"400",2010,"1601","D",5346,48389,0.429854096520763
"401",2010,"1601","R",2314,14227,NA
"402",2010,"1702","R",15,30,0
"403",2010,"1707","D",111,222,0
"404",2010,"1708","D",575,3283,0.709565217391304
"405",2010,"1709","R",43,119,0.395348837209302
"406",2010,"1710","D",1682,10600,0.423900118906064
"407",2010,"1710","R",722,3656,0.480609418282548
"408",2010,"1711","D",957,5941,0.912225705329154
"409",2010,"1711","R",34,128,0
"410",2010,"1714","D",2558,19650,0.740031274433151
"411",2010,"1715","R",4,4,0
"412",2010,"1717","D",5649,51127,0.519206939281289
"413",2010,"1717","R",2997,26404,0.751084417751084
"414",2010,"1802","D",5485,21770,0.346946216955333
"415",2010,"1802","R",4696,21113,0.620315161839864
"416",2010,"1803","D",2046,13980,0.477517106549365
"417",2010,"1803","R",2147,11316,0.0740568234746157
"418",2010,"1804","R",1243,7127,0.230893000804505
"419",2010,"1805","R",1546,8348,0
"420",2010,"1806","R",426,2982,0
"421",2010,"1807","D",87,380,0
"422",2010,"1807","R",71,213,0
"423",2010,"1808","D",1781,12467,0.293655249859629
"424",2010,"1808","R",3302,22034,0.268019382192611
"425",2010,"1809","D",5424,49922,0.877765486725664
"426",2010,"1809","R",4016,22652,0.688745019920319
"427",2010,"1901","D",2005,11981,0.419451371571072
"428",2010,"1901","R",2310,13818,0.76017316017316
"429",2010,"1902","D",3608,27102,0.386640798226164
"430",2010,"1902","R",1677,10150,0.298747763864043
"431",2010,"1903","D",2190,11564,0.985844748858448
"432",2010,"1903","R",1168,3912,0.508561643835616
"433",2010,"1904","R",266,1330,0
"434",2010,"1905","R",179,1160,0
"435",2010,"2001","D",9,9,1
"436",2010,"2001","R",5201,28072,0.0488367621611229
"437",2010,"2002","R",465,5580,0
"438",2010,"2003","D",1007,6042,0.102284011916584
"439",2010,"2003","R",1795,8149,0.532590529247911
"440",2010,"2004","D",3773,15092,0.0864033925258415
"441",2010,"2004","R",9533,39825,0.127661806356866
"442",2010,"2102","R",446,3568,0
"443",2010,"2103","D",875,5250,0
"444",2010,"2103","R",492,2565,0.636178861788618
"445",2010,"2106","D",5443,22322,0.519933860003674
"446",2010,"2106","R",5482,22224,0.776723823422109
"447",2010,"2201","D",7,7,0
"448",2010,"2202","D",525,2429,0.0304761904761905
"449",2010,"2202","R",498,2908,0.44578313253012
"450",2010,"2203","D",357,2137,NA
"451",2010,"2203","R",810,3393,0.274074074074074
"452",2010,"2204","D",196,476,0
"453",2010,"2204","R",16,16,0
"454",2010,"2301","D",2493,10424,0.525471319695146
"455",2010,"2301","R",787,3076,0.310038119440915
"456",2010,"2302","D",1813,18246,0
"457",2010,"2401","D",6221,48557,0.71387236778653
"458",2010,"2401","R",4538,35323,0.608858527985897
"459",2010,"2402","D",796,4728,0
"460",2010,"2402","R",229,778,0.183406113537118
"461",2010,"2405","R",16,48,0
"462",2010,"2501","D",586,1758,0
"463",2010,"2501","R",18,18,0
"464",2010,"2502","D",471,2466,0
"465",2010,"2503","D",492,3936,0
"466",2010,"2504","D",1712,18076,0
"467",2010,"2504","R",989,7187,0.51567239635996
"468",2010,"2505","D",457,2742,0
"469",2010,"2506","D",557,3342,1
"470",2010,"2506","R",44,220,0
"471",2010,"2509","D",17,51,0
"472",2010,"2510","D",422,2532,1
"473",2010,"2510","R",773,3481,1
"474",2010,"2601","D",2139,19676,0.5684899485741
"475",2010,"2601","R",4063,47547,0.894166871769628
